,Date,Open,High,Low,Close,Volume
0,2025-04-03,49.25,50.5,48.75,48.75,86492700
1,2025-04-04,48.0,48.25,45.0,45.0,90056800
2,2025-04-08,39.0,41.75,38.5,40.0,97264300
3,2025-04-09,40.5,43.25,39.75,42.25,87260500
4,2025-04-10,45.5,47.5,44.5,46.0,63327600
5,2025-04-11,44.5,46.25,44.5,45.0,41245000
6,2025-04-16,46.25,47.25,45.5,47.25,39982400
7,2025-04-17,47.0,47.25,46.25,46.5,25240600
8,2025-04-18,46.5,47.0,46.25,46.75,17311000
9,2025-04-21,46.5,47.0,44.5,44.5,23680300
10,2025-04-22,43.5,45.75,43.0,45.5,34277400
11,2025-04-23,46.25,46.25,45.25,45.5,27294400
12,2025-04-24,45.25,45.5,44.0,44.75,22645600
13,2025-04-25,45.25,46.25,45.0,45.5,18359700
14,2025-04-28,45.25,46.0,45.25,45.75,10315600
15,2025-04-29,46.25,47.5,45.75,47.25,26099500
16,2025-04-30,47.5,49.0,47.25,49.0,35888200
17,2025-05-02,49.75,50.25,47.75,48.0,32000800
18,2025-05-06,48.0,48.75,47.25,47.25,27150700
19,2025-05-07,48.0,50.0,48.0,50.0,37055700
20,2025-05-08,50.0,50.5,49.25,49.25,29661800
21,2025-05-09,49.5,50.5,48.5,50.25,37313200
22,2025-05-13,51.0,51.25,49.5,49.5,24449200
23,2025-05-14,49.75,50.0,48.75,48.75,18987600
24,2025-05-15,49.0,49.25,47.5,47.75,24468300
25,2025-05-16,48.75,48.75,47.75,48.5,20648400
26,2025-05-19,48.5,49.25,48.0,48.25,17695200
27,2025-05-20,48.5,49.0,48.0,48.25,26558200
28,2025-05-21,48.5,48.75,47.25,47.25,27161000
29,2025-05-22,47.25,47.5,46.5,47.0,17293300
30,2025-05-23,47.5,48.25,47.0,48.0,19750300
31,2025-05-26,47.75,48.0,46.75,47.0,12531100
32,2025-05-27,47.0,47.0,46.25,46.25,17423900
33,2025-05-28,46.5,47.0,45.25,45.25,19252900
34,2025-05-29,46.25,46.5,45.75,45.75,14639800
35,2025-05-30,45.25,45.75,45.0,45.0,66870800
