,Date,Open,High,Low,Close,Volume,sqrt_Volume,Close_t-1,Close_t-2,Volume_t-1,SMA_5,STD_5,EMV_5,rsi,rsi_result,macd,macd_signal,macd_diff,macd_result,bb_upper,bb_lower,bb_width,bb_result,adx,adx_pos,adx_neg,adx_result,Daily_Return,Close_Diff_t-1,future_return_5,Year,Quarter,Day,Month,Weekday,target,target_encoded
2,2001-12-10,1.25757896900177,1.25757896900177,1.25757896900177,1.25757896900177,0,0.0,,,,,,1.25757896900177,,neutral,,,,hold,,,,Hold_signal,0.0,0.0,0.0,weak_downtrend,,,sell,2001,4,10,12,0,sell,2
7,2001-12-17,1.231010399171319,1.231010399171319,1.2221542596817017,1.2221542596817017,69890000,8360.023923410747,1.25757896900177,,0.0,,,1.2363241434097292,,neutral,,,,hold,,,,Hold_signal,0.0,0.0,0.0,weak_downtrend,-0.028168974031259064,,hold,2001,4,17,12,0,hold,1
8,2001-12-18,1.2221542596817017,1.2221542596817017,1.2221542596817017,1.2221542596817017,0,0.0,1.2221542596817017,1.25757896900177,8360.023923410747,,,1.2296120932227688,,neutral,,,,hold,,,,Hold_signal,0.0,0.0,0.0,weak_downtrend,0.0,-0.03542470932006836,hold,2001,4,18,12,1,hold,1
9,2001-12-19,1.2221543066407974,1.231010446470696,1.2132980823516846,1.2132980823516846,78774000,8875.471818444357,1.2221542596817017,1.2221542596817017,0.0,,,1.222835504091703,,neutral,,,,hold,,,,Hold_signal,0.0,0.0,0.0,weak_downtrend,-0.007246366209388011,0.0,hold,2001,4,19,12,2,hold,1
10,2001-12-20,1.213298035732873,1.231010399171319,1.213298035732873,1.2221542596817017,70512000,8397.142371068863,1.2132980823516846,1.2221542596817017,8875.471818444357,1.2274679660797119,0.017263867823367165,1.2225739837257783,,neutral,,,,hold,,,,Hold_signal,0.0,0.0,0.0,weak_downtrend,0.007299259315445061,-0.00885617733001709,hold,2001,4,20,12,3,hold,1
11,2001-12-21,1.2221543066407974,1.231010446470696,1.2132980823516846,1.2132980823516846,85586000,9251.270183061351,1.2221542596817017,1.2132980823516846,8397.142371068863,1.2186117887496948,0.004850728096916109,1.2191844438251698,,neutral,,,,hold,,,,Hold_signal,0.0,0.0,0.0,weak_downtrend,-0.007246366209388011,0.00885617733001709,hold,2001,4,21,12,4,hold,1
12,2001-12-24,1.2132980823516846,1.2221543066407974,1.2132980823516846,1.2132980823516846,52930000,7275.300681071539,1.2132980823516846,1.2221542596817017,9251.270183061351,1.2168405532836915,0.004850728096916109,1.2171003459552472,,neutral,,,,hold,,,,Hold_signal,0.0,0.0,0.0,weak_downtrend,0.0,-0.00885617733001709,hold,2001,4,24,12,0,hold,1
13,2001-12-25,1.2132980823516846,1.2221543066407974,1.2132980823516846,1.2132980823516846,44598000,6678.173402959825,1.2132980823516846,1.2132980823516846,7275.300681071539,1.215069317817688,0.003960602906142011,1.215781464035978,,neutral,,,,hold,,,,Hold_signal,0.0,0.0,0.0,weak_downtrend,0.0,0.0,hold,2001,4,25,12,1,hold,1
14,2001-12-26,1.2132980823516846,1.231010446470696,1.2132980823516846,1.2132980823516846,82174000,9064.987589621951,1.2132980823516846,1.2132980823516846,6678.173402959825,1.215069317817688,0.003960602906142011,1.2149315622452188,,neutral,,,,hold,,,,Hold_signal,0.0,0.0,0.0,weak_downtrend,0.0,0.0,hold,2001,4,26,12,2,hold,1
15,2001-12-27,1.2221543066407974,1.231010446470696,1.2221543066407974,1.2132980823516846,17493000,4182.463388961103,1.2132980823516846,1.2132980823516846,9064.987589621951,1.2132980823516846,0.0,1.2143774599661248,,neutral,,,,hold,,,,Hold_signal,0.0,0.0,0.0,weak_downtrend,0.0,0.0,hold,2001,4,27,12,3,hold,1
16,2001-12-28,1.2221542596817017,1.231010399171319,1.213298035732873,1.2221542596817017,48126000,6937.290537378408,1.2132980823516846,1.2132980823516846,4182.463388961103,1.215069317817688,0.003960602906142011,1.2170000463110218,,neutral,,,,hold,,,,Hold_signal,0.0,0.0,0.0,weak_downtrend,0.007299259315445061,0.0,hold,2001,4,28,12,4,hold,1
17,2001-12-31,1.2221542596817017,1.2221542596817017,1.2221542596817017,1.2221542596817017,0,0.0,1.2221542596817017,1.2132980823516846,6937.290537378408,1.2168405532836915,0.004850728096916109,1.218731462055887,,neutral,,,,hold,,,,Hold_signal,0.0,0.0,0.0,weak_downtrend,0.0,0.00885617733001709,hold,2001,4,31,12,0,hold,1
18,2002-01-01,1.2221542596817017,1.2221542596817017,1.2221542596817017,1.2221542596817017,0,0.0,1.2221542596817017,1.2221542596817017,0.0,1.2186117887496948,0.004850728096916109,1.2198782872506915,,neutral,,,,hold,,,,Hold_signal,0.0,0.0,0.0,weak_downtrend,0.0,0.0,hold,2002,1,1,1,1,hold,1
19,2002-01-02,1.2221543066407974,1.2221543066407974,1.2132980823516846,1.2132980823516846,28895000,5375.406961337904,1.2221542596817017,1.2221542596817017,0.0,1.2186117887496948,0.004850728096916109,1.2176773463222912,26.346630766518302,oversold,,,,hold,,,,Hold_signal,0.0,0.0,0.0,weak_downtrend,-0.007246366209388011,0.0,hold,2002,1,2,1,2,hold,1
20,2002-01-03,1.2132980823516846,1.2132980823516846,1.2132980823516846,1.2132980823516846,0,0.0,1.2132980823516846,1.2221542596817017,5375.406961337904,1.2186117887496948,0.004850728096916109,1.2162142504544577,26.346630766518302,oversold,,,,hold,,,,Hold_signal,0.0,0.0,0.0,weak_downtrend,0.0,-0.00885617733001709,hold,2002,1,3,1,3,hold,1
21,2002-01-04,1.2487229582886488,1.2487229582886488,1.2398667335510254,1.2398667335510254,107383000,10362.576899594038,1.2132980823516846,1.2132980823516846,0.0,1.2221542835235595,0.010846606432083353,1.2241104329415557,56.61501939027365,neutral,,,,hold,,,,Hold_signal,0.0,27.062753270656614,25.74259532199388,weak_uptrend,0.02189787619860395,0.0,hold,2002,1,4,1,4,hold,1
22,2002-01-07,1.2398669013666084,1.2487231273029191,1.231010675430298,1.231010675430298,96198000,9808.057911737675,1.2398667335510254,1.2132980823516846,10362.576899594038,1.223925566673279,0.011547120225329182,1.2264128506312149,49.33682698385877,neutral,,,,hold,,,,Hold_signal,0.0,24.613287864246466,27.938061255643042,weak_downtrend,-0.007142750007787746,0.02656865119934082,hold,2002,1,7,1,0,hold,1
23,2002-01-08,1.231010508813402,1.2487229582886488,1.231010508813402,1.2398667335510254,116866000,10810.45789964514,1.231010675430298,1.2398667335510254,9808.057911737675,1.2274680614471436,0.01343112866482452,1.2309005148019232,55.4979087845603,neutral,,,,hold,,,,Hold_signal,0.0,22.427239446687125,25.456804035174635,weak_downtrend,0.007194135922202083,-0.008856058120727317,hold,2002,1,8,1,1,hold,1
24,2002-01-09,1.2398669013666084,1.2575792687799998,1.231010675430298,1.231010675430298,88689000,9417.48374036292,1.2398667335510254,1.231010675430298,10810.45789964514,1.2310105800628661,0.010846606432410907,1.230937251583086,49.071365781028454,neutral,,,,hold,,,,Hold_signal,0.0,23.795679116886102,22.2627415312994,weak_uptrend,-0.007142750007787746,0.008856058120727317,hold,2002,1,9,1,2,hold,1
25,2002-01-10,1.231010508813402,1.2398667335510254,1.231010508813402,1.2398667335510254,43224000,6574.496178415499,1.231010675430298,1.2398667335510254,9417.48374036292,1.2363243103027344,0.004850662803299008,1.233914640958716,54.71824771048222,neutral,,,,hold,1.2480820431561457,1.1997690305857673,0.048313012570378344,Buy_signal,0.0,22.770099886068994,21.30331205898606,weak_uptrend,0.007194135922202083,-0.008856058120727317,hold,2002,1,10,1,3,buy,0
26,2002-01-11,1.2398667335510254,1.2398667335510254,1.231010508813402,1.2398667335510254,14155000,3762.313118282422,1.2398667335510254,1.231010675430298,6574.496178415499,1.2363243103027344,0.004850662803299008,1.2358990696725443,54.71824771048222,neutral,,,,hold,1.2431574103921041,1.2029224398047342,0.04023497058736991,Buy_signal,0.0,21.760110314655012,20.358383265357116,weak_uptrend,0.0,0.008856058120727317,hold,2002,1,11,1,4,buy,0
27,2002-01-14,1.231010675430298,1.2398669013666084,1.231010675430298,1.231010675430298,21253000,4610.0976128494285,1.2398667335510254,1.2398667335510254,3762.313118282422,1.2363243103027346,0.004850662803299008,1.2342693871063493,48.48361290827532,neutral,,,,hold,1.2438905518695178,1.2030749399021803,0.04081561196733752,Buy_signal,0.0,20.76814872860172,19.430240319917793,weak_uptrend,-0.007142750007787746,0.0,hold,2002,1,14,1,0,buy,0
28,2002-01-15,1.231010399171319,1.231010399171319,1.2221542596817017,1.2221542596817017,29136000,5397.777320342142,1.231010675430298,1.2398667335510254,4610.0976128494285,1.23278181552887,0.007409638057009664,1.2302306514274466,43.18443716471322,neutral,,,,hold,1.2438905518695178,1.2030749399021803,0.04081561196733752,Buy_signal,0.0,19.79619136000341,23.200936140263238,weak_downtrend,-0.007194426437854173,-0.008856058120727317,hold,2002,1,15,1,1,hold,1
29,2002-01-16,1.2221543685349974,1.2398667335510254,1.2221543685349974,1.2398667335510254,50771000,7125.377182998806,1.2221542596817017,1.231010675430298,5397.777320342142,1.2345530271530152,0.007921239132672024,1.2334428696179869,54.01064936916965,neutral,,,,hold,1.24584356178445,1.2037787951071819,0.04206476667726822,Buy_signal,0.0,22.56196744194482,21.076454879028596,weak_uptrend,0.014492829959072973,-0.008856415748596413,hold,2002,1,16,1,2,buy,0
30,2002-01-17,1.2398669013666084,1.2398669013666084,1.2221545339532172,1.231010675430298,19848000,4455.109426265532,1.2398667335510254,1.2221542596817017,7125.377182998806,1.2327818155288697,0.007409638057009699,1.2326321061141305,48.98472640321244,neutral,,,,hold,1.246416506103001,1.2040914923634907,0.042325013739510364,Buy_signal,0.0,20.536879499140785,19.184622210770353,weak_uptrend,-0.007142750007787746,0.01771247386932373,hold,2002,1,17,1,3,buy,0
31,2002-01-18,1.231010399171319,1.231010399171319,1.2221542596817017,1.2221542596817017,19604000,4427.640455140864,1.231010675430298,1.2398667335510254,4455.109426265532,1.229239320755005,0.007409680801716018,1.2291393984242163,44.52281198957076,neutral,-0.0019441315843049534,,,hold,1.2462004727869471,1.2051931434125465,0.04100732937440066,Buy_signal,0.0,19.590018829177293,18.30025066164442,weak_uptrend,-0.007194426437854173,-0.008856058120727317,hold,2002,1,18,1,4,buy,0
32,2002-01-21,1.2221542596817017,1.231010399171319,1.2221542596817017,1.2221542596817017,16330000,4041.03947023535,1.2221542596817017,1.231010675430298,4427.640455140864,1.2274680376052856,0.007921279116683782,1.226810977860974,44.52281198957076,neutral,-0.0024145319601622806,,,hold,1.2459229482494225,1.2063562856830725,0.03956666256635,Buy_signal,0.0,18.66337479026223,17.434615036986038,weak_uptrend,0.0,-0.008856415748596413,hold,2002,1,21,1,0,buy,0
33,2002-01-22,1.2221542596817017,1.231010399171319,1.2221542596817017,1.2221542596817017,14463000,3803.025111670971,1.2221542596817017,1.2221542596817017,4041.03947023535,1.2274680376052856,0.007921279116683782,1.2252587202537486,44.52281198957077,neutral,-0.002755563229450253,,,hold,1.2455769379395791,1.2075879137259178,0.03798902421366135,Buy_signal,7.386086438636005,17.758736770465894,16.589536598589167,weak_uptrend,0.0,0.0,hold,2002,1,22,1,1,buy,0
34,2002-01-23,1.231010399171319,1.231010399171319,1.2221542596817017,1.2221542596817017,32637000,5712.880184285331,1.2221542596817017,1.2221542596817017,3803.025111670971,1.2239255428314209,0.0039607095301736105,1.2242238919679744,44.52281198957076,neutral,-0.0029913505403802443,,,hold,1.2451535039535162,1.2088969654449822,0.03625653850853405,Buy_signal,7.101648562563206,16.877722035324553,15.766526134419747,weak_uptrend,0.0,0.0,hold,2002,1,23,1,2,buy,0
35,2002-01-24,1.2221542596817017,1.231010399171319,1.2221542596817017,1.2221542596817017,27213000,5216.608093387887,1.2221542596817017,1.2221542596817017,5712.880184285331,1.2221542596817017,0.0,1.2235340109414217,44.52281198957076,neutral,-0.003141994723697028,,,hold,1.2446409339629974,1.210295153168503,0.03434578079449446,Buy_signal,6.837527677638464,16.021738474805368,14.966898841748796,weak_uptrend,0.0,0.0,hold,2002,1,24,1,3,buy,0
36,2002-01-25,1.231010446470696,1.231010446470696,1.2132980823516846,1.2132980823516846,103578000,10177.327743568054,1.2221542596817017,1.2221542596817017,5216.608093387887,1.2203830242156983,0.003960602906144014,1.2201220228822813,39.33323519253077,neutral,-0.00393069027001558,,,hold,1.2451535039535162,1.2088969654449822,0.03625653850853405,Buy_signal,7.212729426343289,14.44393179779392,18.416925122032314,weak_downtrend,-0.007246366209388011,0.0,hold,2002,1,25,1,4,hold,1
37,2002-01-28,1.2221543066407974,1.231010446470696,1.2132980823516846,1.2132980823516846,63711000,7981.917062961755,1.2132980823516846,1.2221542596817017,10177.327743568054,1.2186117887496948,0.004850728096917914,1.217847370766515,39.33323519253078,neutral,-0.004503819939980058,,,hold,1.2455769379395791,1.2075879137259178,0.03798902421366135,Buy_signal,7.561131050140626,13.058970102145995,16.651011504970892,weak_downtrend,0.0,-0.00885617733001709,hold,2002,1,28,1,0,hold,1
38,2002-01-29,1.2221543066407974,1.2221543066407974,1.2132980823516846,1.2132980823516846,11197000,3346.19186538967,1.2132980823516846,1.2132980823516846,7981.917062961755,1.2168405532836915,0.004850728096918071,1.2163309389516943,39.33323519253078,neutral,-0.004901527573827114,,,hold,1.2459229482494225,1.2063562856830725,0.03956666256635,Buy_signal,7.884646843666725,12.417827389434958,15.83351406051887,weak_downtrend,0.0,0.0,hold,2002,1,29,1,1,hold,1
39,2002-01-30,1.2132980823516846,1.231010446470696,1.2132980823516846,1.2132980823516846,52956000,7277.087329419649,1.2132980823516846,1.2132980823516846,3346.19186538967,1.215069317817688,0.0039606029061445905,1.2153199857102654,39.33323519253078,neutral,-0.005157264009760354,-0.003820037045764703,-0.001337226963995651,hold,1.2459229482494225,1.2063562856830725,0.03956666256635,Buy_signal,7.720044002429193,16.01186546042978,14.319322373609475,weak_uptrend,0.0,0.0,hold,2002,1,30,1,2,buy,0
40,2002-01-31,1.2132980823516846,1.2132980823516846,1.2132980823516846,1.2132980823516846,0,0.0,1.2132980823516846,1.2132980823516846,7277.087329419649,1.2132980823516846,0.0,1.2146460174612164,39.33323519253078,neutral,-0.005298855074839182,-0.004115800651579599,-0.001183054423259583,hold,1.2459229482494225,1.2063562856830725,0.03956666256635,Buy_signal,7.567198506994343,16.01186546042978,14.319322373609475,weak_uptrend,0.0,0.0,hold,2002,1,31,1,3,buy,0
41,2002-02-01,1.231010508813402,1.2398667335510254,1.2221543685349974,1.2398667335510254,59227000,7695.908003608151,1.2132980823516846,1.2132980823516846,0.0,1.2186118125915528,0.011881862030442168,1.2230529266735137,59.73050874833037,neutral,-0.0032299658697556577,-0.003938633695214811,0.0007086678254591529,buy,1.2459229482494225,1.2063562856830725,0.03956666256635,Buy_signal,9.814183500016908,27.99164385957979,12.276863521508028,weak_uptrend,0.02189787619860395,0.0,hold,2002,1,1,2,4,buy,0
42,2002-02-04,1.2398669013666084,1.2398669013666084,1.231010675430298,1.231010675430298,16568000,4070.380817564863,1.2398667335510254,1.2132980823516846,7695.908003608151,1.2221543312072753,0.012524610384759102,1.2257055104020829,53.297901594482724,neutral,-0.0022786987258907043,-0.003606646701349989,0.0013279479754592849,hold,1.2459229482494225,1.2063562856830725,0.03956666256635,Buy_signal,11.900680058834235,26.62829449960243,11.67887123362754,weak_uptrend,-0.007142750007787746,0.02656865119934082,hold,2002,1,4,2,0,buy,0
